les couleurs,colours,
blanc-blanche,white,
bleu-bleue,blue,
gris-grise,grey,
jaune,yellow,
noie-noire,black,
orange,orange,
rose,pink,
rouge,red,
vert-verte,green,
marron,brown,
violet,purple
