le corps,body,
la bouche,mouth,
le bras,arm,
les cheveux,hair,
le coeur,heart,
le cou,neck,
le dents,teeth,
le doigt,finger,
le doigt de pied,toe,
le dos,back,
le visage,face,
le pied,foot,
la main,hand,
la langue,tongue
