a,a,
bé,b,
cé,c,
dé,d,
e,e,
effe,f,
gé,g,
ache,h,
i,i,
ji,j,
ka,k,
elle,l,
emme,m,
enne,n,
o,o, 
pé,p,
cu,q,
erre,r,
esse,s,
té,t,
u,u,
vé,v,
double vé,w,
ixe,x,
i grec,y,
zède,z
