les animaux,animals,
l'aigle,eagle,
l'âne,donkey,
le canard,duck,
le cheval,horse,
la chèvre,goat,
le chien,dog,
le cochon,pig,
le crocodile,crocodile,
le dauphin,dolphin,
le lapin,rabbit,
le loup,wolf,
l'ours,bear,
le perroquet,parrot
